labels,text_id,content,content_translation
4,1442044,"RT @FIDE_chess: Ding Liren - 2023 FIDE World Champion

📷: Stev Bonhage
 #NepoDing https://t.co/M5uvNSmTmB","RT @FIDE_chess: Ding Liren - 2023 FIDE World Champion

📷: Stev Bonhage
 #NepoDing https://t.co/M5uvNSmTmB"
4,1501735,"RT @FIDE_chess: Ding Liren - 2023 FIDE World Champion

📷: Stev Bonhage
 #NepoDing https://t.co/M5uvNSmTmB","RT @FIDE_chess: Ding Liren - 2023 FIDE World Champion

📷: Stev Bonhage
 #NepoDing https://t.co/M5uvNSmTmB"
4,1449350,"RT @FIDE_chess: Ding Liren - 2023 FIDE World Champion

📷: Stev Bonhage
 #NepoDing https://t.co/M5uvNSmTmB","RT @FIDE_chess: Ding Liren - 2023 FIDE World Champion

📷: Stev Bonhage
 #NepoDing https://t.co/M5uvNSmTmB"
4,1449383,"RT @FIDE_chess: Ding Liren - 2023 FIDE World Champion

📷: Stev Bonhage
 #NepoDing https://t.co/M5uvNSmTmB","RT @FIDE_chess: Ding Liren - 2023 FIDE World Champion

📷: Stev Bonhage
 #NepoDing https://t.co/M5uvNSmTmB"
5,1435451,"@zneroleahcim @FIDE_chess His quick playing works just fine outside WC matches and he isn't facing different opponents now that Magnus isn't playing.

He should lean more into his strengths and play more sharply from the beginning and not change his gameplan when leading by a small margin.","@zneroleahcim @FIDE_chess His quick playing works just fine outside WC matches and he isn't facing different opponents now that Magnus isn't playing.

He should lean more into his strengths and play more sharply from the beginning and not change his gameplan when leading by a small margin."
5,1361754,"@dpenaranda @FIDE_chess Dramático diría yo. Con Magnus uno estaba acostumbrado a ese montón de empates, en este ya hubo cinco ganes y Ding hasta se fue por tiempo","@dpenaranda @FIDE_chess Dramatic I would say. With Magnus one was used to that lot of draws, in this one there were already five wins and Ding even left for time"
5,1455986,"@romain_edouard @SchachNotizen @FIDE_chess well, you'll notice i didn't offer an opinion as to whether they should do so.

that's because i'm not sure. i mean, i don't consider them to be a WC in the same way i consider Anand to be a WC. 

but i do agree it's odd for FIDE to just pretend they didn't crown them champ.","@romain_edouard @SchachNotizen @FIDE_chess well, you'll notice i didn't offer an opinion as to whether they should do so.

that's because i'm not sure. i mean, i don't consider them to be a WC in the same way i consider Anand to be a WC. 

but i do agree it's odd for FIDE to just pretend they didn't crown them champ."
5,1323794,"The most exciting side event of #NepoDing match just started! The best Kazakh women and the top women players from all over the world will face each other in the match consisting of rapid and blitz games.

Good luck especially to our friends Hou Yifan and Zhansaya Abdumalik! https://t.co/ECXSVeEYqT","The most exciting side event of #NepoDing match just started! The best Kazakh women and the top women players from all over the world will face each other in the match consisting of rapid and blitz games.

Good luck especially to our friends Hou Yifan and Zhansaya Abdumalik! https://t.co/ECXSVeEYqT"
5,1351506,So excited to understand a little of chess. The World Chess Championship without Magnus Carlsen is being the best I ever watched #NepoDing https://t.co/cmExAoiw0q,So excited to understand a little of chess. The World Chess Championship without Magnus Carlsen is being the best I ever watched #NepoDing https://t.co/cmExAoiw0q
5,1401695,"Casi no he seguido el mundial de ajedrez de la @FIDE_chess por no estar Magnus. Decidí ver una partida en lo que me alisto para la universidad y veo 4 errores graves seguidos con más de 30 minutos para Nepo y más de 20 para Ding... 

Con razón Magnus no juega más el campeonato.","I hardly followed the @FIDE_chess world chess championship because Magnus wasn't there. I decided to watch a game in which I get ready for college and I see 4 serious mistakes in a row with more than 30 minutes for Nepo and more than 20 for Ding... 

No wonder Magnus doesn't play the championship anymore."
5,1436633,"Although @MagnusCarlsen is not the current world chess champion but then also he is my favourite and will always be my favourite.. still he is the best player in the world and world no. 1 !
G.O.A.T !!

#Magnus
#MagnusCarlsen
#Chess
#WorldChessChampionship 
#WorldChessChampion","Although @MagnusCarlsen is not the current world chess champion but then also he is my favourite and will always be my favourite.. still he is the best player in the world and world no. 1 !
G.O.A.T !!

#Magnus
#MagnusCarlsen
#Chess
#WorldChessChampionship 
#WorldChessChampion"
5,1431715,"Hey #chesspunks, tired of losing to Magnus? Get ahead in the game with TEMU! Use my code &lt;125174821&gt; and get up to $20 in rewards. Who knows, maybe you can challenge him next year at the #WorldChessChampionship 😉👑 #ChessGrandPrix #chessman #queen https://t.co/6sIEVMGd4L","Hey #chesspunks, tired of losing to Magnus? Get ahead in the game with TEMU! Use my code &lt;125174821&gt; and get up to $20 in rewards. Who knows, maybe you can challenge him next year at the #WorldChessChampionship 😉👑 #ChessGrandPrix #chessman #queen https://t.co/6sIEVMGd4L"
5,1321979,Enjoy some Lofi Magnus on a rest day of the #WorldChessChampionship 😊 https://t.co/wF8bVvoVyL,Enjoy some Lofi Magnus on a rest day of the #WorldChessChampionship 😊 https://t.co/wF8bVvoVyL
5,1392358,"RT @Mohamo85: @FIDE_chess Jan is brilliant chess player but he is not a world champion, rush in two WC in a row?!","RT @Mohamo85: @FIDE_chess Jan is brilliant chess player but he is not a world champion, rush in two WC in a row?!"
6,1384345,"RT @lichess: The advance of the horseys!

Join our #NepoDing thematic arena: https://t.co/aU3FUfgADb https://t.co/uw5IefQI75","RT @lichess: The advance of the horseys!

Join our #NepoDing thematic arena: https://t.co/aU3FUfgADb https://t.co/uw5IefQI75"
6,1433657,That very moment! 👏 #NepoDing https://t.co/xGCr8YZO5S,That very moment! 👏 #NepoDing https://t.co/xGCr8YZO5S
6,1375529,I couldn't skip this one #NepoDing https://t.co/yUEz49uqtf,I couldn't skip this one #NepoDing https://t.co/yUEz49uqtf
6,1435719,The calm before the storm @gotthelifestyle #NepoDing https://t.co/xKdXy4h18b,The calm before the storm @gotthelifestyle #NepoDing https://t.co/xKdXy4h18b
6,1437696,"A story in 4 frames. 
#NepoDing https://t.co/pUfgjunJ8q","A story in 4 frames. 
#NepoDing https://t.co/pUfgjunJ8q"
6,1332417,Well… I definitely didn’t see that coming. #NepoDing https://t.co/E9pSaULJBK,Well… I definitely didn’t see that coming. #NepoDing https://t.co/E9pSaULJBK
6,1357311,Some crazy line suggested by LCZero. #NepoDing https://t.co/QdjIEjU2uC,Some crazy line suggested by LCZero. #NepoDing https://t.co/QdjIEjU2uC
6,1433169,"¡¡Ding campeón!! 😱😱😱
#NepoDing https://t.co/QqxfrUO5Ur","Ding champion!! 😱😱😱
#NepoDing https://t.co/QqxfrUO5Ur"
6,1357147,Man this is fantastic insight #NepoDing https://t.co/hfq8cR3nA2,Man this is fantastic insight #NepoDing https://t.co/hfq8cR3nA2
6,1356416,"17.7 Billion nodes, 37.7 Million nodes/sec (on average), 9 Million Sygzy hits, ~40 principal variations at depth~40 on each move

pushing the boundaries of computation in #NepoDing

IYKYK :: Distributed Systems

OPEN SOURCE

https://t.co/x1hgx4gSFw","17.7 Billion nodes, 37.7 Million nodes/sec (on average), 9 Million Sygzy hits, ~40 principal variations at depth~40 on each move

pushing the boundaries of computation in #NepoDing

IYKYK :: Distributed Systems

OPEN SOURCE

https://t.co/x1hgx4gSFw"
7,1438300,"The meaning of life is to find your gift
The purpose of life is to give it away 🧡🌻🧡

#ajapsv #AzerbaijanGP #Napoli #slave #moneyslavefrance #moneyslaves #NOREN #NepoDing #ชาอึนอู #w2904 #الهلال_اوراوا https://t.co/LVHzbODVWj","The meaning of life is to find your gift
The purpose of life is to give it away 🧡🌻🧡

#ajapsv #AzerbaijanGP #Napoli #slave #moneyslavefrance #moneyslaves #NOREN #NepoDing #ชาอึนอู #w2904 #الهلال_اوراوا https://t.co/LVHzbODVWj"
7,1438188,"Do You Want To Be Fit Always? Change Your Habits. - WFH https://t.co/SB3XIp1dKr
#AzerbaijanGP #เลิกเถอะมิว #CSKvsPBKS #الهلال_اوراوا #GlazersOut #ชาอึนอู #MotoGP #KonnecThaiXChaEunWoo #NepoDing #HealthForAll","Do You Want To Be Fit Always? Change Your Habits. - WFH https://t.co/SB3XIp1dKr
#AzerbaijanGP #เลิกเถอะมิว #CSKvsPBKS #الهلال_اوراوا #GlazersOut #ชาอึนอู #MotoGP #KonnecThaiXChaEunWoo #NepoDing #HealthForAll"
7,1450823,"#Nifty #Nifty50 #Sensex #StockMarket #AryanKhan #Prathna #CryPMPayCM #ManeMagaModi #YSRCPApologizeRAJINI #Messi #Arrest_Brijbhushan_Now #AzerbaijanGP #CSKvsPBKS #MotoGP #NepoDing #เลิกเถอะมิว #ชาอึนอู #KonnecThaiXChaEunWoo #GlazersOut  
==
is this the #fact . #disclose_the_truth https://t.co/D5RrnPnwRQ","#Nifty #Nifty50 #Sensex #StockMarket #AryanKhan #Prathna #CryPMPayCM #ManeMagaModi #YSRCPApologizeRAJINI #Messi #Arrest_Brijbhushan_Now #AzerbaijanGP #CSKvsPBKS #MotoGP #NepoDing #เลิกเถอะมิว #ชาอึนอู #KonnecThaiXChaEunWoo #GlazersOut  
==
is this the #fact . #disclose_the_truth https://t.co/D5RrnPnwRQ"
7,1440172,Check out DJSR817's video! #TikTok https://t.co/LDcagXxgJ2 LIVE FESTIVAL 6ix9ine #AgustD_SUGA_Tour #AzerbaijanGP #CHAEUNWOO #CSKvsPBKS #GlazersOut #KonnecThaiXChaEunWoo #NepoDing #SUGA_AgustD_TOUR #420day #6ix9ine,Check out DJSR817's video! #TikTok https://t.co/LDcagXxgJ2 LIVE FESTIVAL 6ix9ine #AgustD_SUGA_Tour #AzerbaijanGP #CHAEUNWOO #CSKvsPBKS #GlazersOut #KonnecThaiXChaEunWoo #NepoDing #SUGA_AgustD_TOUR #420day #6ix9ine
7,1435827,3 inches 😂 #CSKvsPBKS #ENHYPEN #lufc #NepoDing #الهلال_اوراوا #نهائي_دوري_أبطال_آسيا #ชาอึนอู #เลิกเถอะมิว #まつもtoなかい https://t.co/pLKEoRoo9Y,3 inches 😂 #CSKvsPBKS #ENHYPEN #lufc #NepoDing #الهلال_اوراوا #نهائي_دوري_أبطال_آسيا #ชาอึนอู #เลิกเถอะมิว #まつもtoなかい https://t.co/pLKEoRoo9Y
7,1437674,"https://t.co/13JnOJIG36 by Check out @the_misfts on Audiomack

#AzerbaijanGP #CSKvsPBKS #GlazersOut #KonnecThaiXChaEunWoo #MotoGP #NepoDing #الهلال_اوراوا #نهائي_دوري_أبطال_آسيا #ชาอึนอู #เลิกเถอะมิว #AFLDeesNorth #AllAmerican #AFLDeesNorth #BBTitans","https://t.co/13JnOJIG36 by Check out @the_misfts on Audiomack

#AzerbaijanGP #CSKvsPBKS #GlazersOut #KonnecThaiXChaEunWoo #MotoGP #NepoDing #الهلال_اوراوا #نهائي_دوري_أبطال_آسيا #ชาอึนอู #เลิกเถอะมิว #AFLDeesNorth #AllAmerican #AFLDeesNorth #BBTitans"
7,1434601,Libra thangs😮‍💨🖤😈 #libra #CSKvsPBKS #ENHYPEN #GlazersOut #lufc #NepoDing #fyp #blackgirl #networking #network #networkmarketing #barber #trump #biden #VanderpumpRules https://t.co/TjtvrZR9zL,Libra thangs😮‍💨🖤😈 #libra #CSKvsPBKS #ENHYPEN #GlazersOut #lufc #NepoDing #fyp #blackgirl #networking #network #networkmarketing #barber #trump #biden #VanderpumpRules https://t.co/TjtvrZR9zL
7,1436835,"Success in any area of life begins with your environment. Change your environment, change your reality.
#TRADINGTIPS #Trader #AzerbaijanGP #CSKvsPBKS #GlazersOut #KonnecThaiXChaEunWoo #NepoDing #نهائي_دوري_أبطال_آسيا #Bitcoin #GALA","Success in any area of life begins with your environment. Change your environment, change your reality.
#TRADINGTIPS #Trader #AzerbaijanGP #CSKvsPBKS #GlazersOut #KonnecThaiXChaEunWoo #NepoDing #نهائي_دوري_أبطال_آسيا #Bitcoin #GALA"
7,1438759,"What is you add Zero to Product? 🎉

How you'll make More profit?💰

Learn here 👇

https://t.co/Jl3TiHfRbT

#AzerbaijanGP
#CSKvsPBKS
#ชาอึนอู #GlazersOut #GlazersOut #KonnecThaiXChaEunWoo #SUGA_AgustD_TOUR #CHAEUNWOO #NepoDing #AgustD_SUGA_Tour","What is you add Zero to Product? 🎉

How you'll make More profit?💰

Learn here 👇

https://t.co/Jl3TiHfRbT

#AzerbaijanGP
#CSKvsPBKS
#ชาอึนอู #GlazersOut #GlazersOut #KonnecThaiXChaEunWoo #SUGA_AgustD_TOUR #CHAEUNWOO #NepoDing #AgustD_SUGA_Tour"
7,1438921,Cambio de quehacer Boda en Cherán Michoacán #boda #sierra #entretenimiento https://t.co/STArEMSft1 vía @YouTube #AzerbaijanGP #FMSCaribe #KonnecThaiXChaEunWoo #NepoDing #Scudetto @Retweelgend @YouTubeLATAM @YTCreadores @MrSmallYouTuber #smallstreamers,Change of work Wedding in Cherán Michoacán #boda #sierra #entretenimiento https://t.co/STArEMSft1 via @YouTube #AzerbaijanGP #FMSCaribe #KonnecThaiXChaEunWoo #NepoDing #Scudetto @Retweelgend @YouTubeLATAM @YTCreadores @MrSmallYouTuber #smallstreamers
8,1390830,RT @EliteMindSports: White to play by Gurgenidze. Relatively straightforward. #chess #NepoDing https://t.co/wIzSXw2wYX,RT @EliteMindSports: White to play by Gurgenidze. Relatively straightforward. #chess #NepoDing https://t.co/wIzSXw2wYX
8,1320498,RT @EliteMindSports: Very clever and precision needed. White to play and win by Van Reek. #chess #NepoDing https://t.co/4KhhiaBrtL,RT @EliteMindSports: Very clever and precision needed. White to play and win by Van Reek. #chess #NepoDing https://t.co/4KhhiaBrtL
8,1391201,White to play by Labourdonnais. Unusual! #chess #NepoDing https://t.co/eYnSl2z9rC,White to play by Labourdonnais. Unusual! #chess #NepoDing https://t.co/eYnSl2z9rC
8,1411512,RT @EliteMindSports: White to play and mate in 2 by Loyd. #chess #NepoDing https://t.co/DAlhL3v0St,RT @EliteMindSports: White to play and mate in 2 by Loyd. #chess #NepoDing https://t.co/DAlhL3v0St
